parties,nv,gate,pcs,prover_time,verifier_time,comm,mem,proof_size_compressed,proof_size_uncompressed
32,22,vanilla,mkzg,453517,5335,1614541,19491512,42090,42890
32,22,vanilla,dory,830004,14222,2512379,9981676,79690,83850
32,22,jellyfish,mkzg,674531,5508,1914125,19671244,50586,51450
32,22,jellyfish,dory,1068579,14791,2831803,10264480,88890,93050
32,23,vanilla,mkzg,763840,5381,1753176,19933576,45154,45986
32,23,vanilla,dory,1293400,14325,2649030,10251864,82722,86882
32,23,jellyfish,mkzg,1163445,5846,2067640,20405644,54002,54898
32,23,jellyfish,dory,1778118,14851,2983334,10750976,92274,96434
32,24,vanilla,mkzg,1141072,5545,1897338,20918888,48322,49186
32,24,vanilla,dory,1938502,15430,2887574,11036628,88450,92898
32,24,jellyfish,mkzg,1750910,5888,2226682,22512052,57522,58450
32,24,jellyfish,dory,2787541,15969,3236758,12117864,98354,102802
32,25,vanilla,mkzg,2105068,5592,2047027,21522176,51594,52490
32,25,vanilla,dory,3443234,15446,3035279,11887932,91690,96138
32,25,jellyfish,mkzg,3323236,6079,2391251,22793456,61146,62106
32,25,jellyfish,dory,5271528,16101,3399343,13194784,101946,106394
32,26,vanilla,mkzg,3912647,5921,2202243,23333616,54970,55898
32,26,vanilla,dory,5753781,17187,3284877,13754000,97626,102362
32,26,jellyfish,mkzg,6356314,6208,2561347,25818516,64874,65866
32,26,jellyfish,dory,9171710,17676,3663821,16240668,108234,112970
16,22,vanilla,mkzg,755598,5093,837864,19874352,42090,42890
16,22,vanilla,dory,1269130,13432,1271430,10324796,77098,80970
16,22,jellyfish,mkzg,1157833,5441,990024,20430460,50586,51450
16,22,jellyfish,dory,1761130,14080,1433190,10593168,86298,90170
16,23,vanilla,mkzg,1130764,5333,907242,21065536,45154,45986
16,23,vanilla,dory,1902678,14306,1386486,11054072,82722,86882
16,23,jellyfish,mkzg,1745713,5569,1066602,22375812,54002,54898
16,23,jellyfish,dory,2762011,14839,1555446,11747652,92274,96434
16,24,vanilla,mkzg,2048095,5574,979299,21566476,48322,49186
16,24,vanilla,dory,3422843,14585,1457583,11930396,85858,90018
16,24,jellyfish,mkzg,3292591,5819,1145859,22749052,57522,58450
16,24,jellyfish,dory,5215142,15075,1633743,13150680,95762,99922
16,25,vanilla,mkzg,3848250,5528,1054035,23312768,51594,52490
16,25,vanilla,dory,5702583,15454,1577997,13643628,91690,96138
16,25,jellyfish,mkzg,6300033,6016,1227795,25748236,61146,62106
16,25,jellyfish,dory,9076126,16055,1761357,16178056,101946,106394
16,26,vanilla,mkzg,7315909,5738,1131450,26711772,54970,55898
16,26,vanilla,dory,10561111,15644,1654452,17123784,95034,99482
16,26,jellyfish,mkzg,12231492,6220,1312410,31911816,64874,65866
16,26,jellyfish,dory,17340628,16191,1845012,22114632,105642,110090
8,22,vanilla,mkzg,1082845,4970,418994,20971884,42090,42890
8,22,vanilla,dory,1806584,13419,642742,10951920,77098,80970
8,22,jellyfish,mkzg,1705930,5446,493362,22799720,50586,51450
8,22,jellyfish,dory,2694049,13923,721590,11893204,86298,90170
8,23,vanilla,mkzg,1993905,5153,452507,21543164,45154,45986
8,23,vanilla,dory,3296225,13756,675807,11910820,80130,84002
8,23,jellyfish,mkzg,3226237,5543,530235,22937580,54002,54898
8,23,jellyfish,dory,5170024,14067,758015,13144272,89682,93554
8,24,vanilla,mkzg,3742050,5337,487275,23326228,48322,49186
8,24,vanilla,dory,5579380,14459,731901,13708352,85858,90018
8,24,jellyfish,mkzg,6223465,5738,568363,25835284,57522,58450
8,24,jellyfish,dory,8872901,15070,817469,16189452,95762,99922
8,25,vanilla,mkzg,7180788,5714,523298,26758836,51594,52490
8,25,vanilla,dory,10286448,14578,767476,17137380,89098,93258
8,25,jellyfish,mkzg,12135653,6026,607746,31852128,61146,62106
8,25,jellyfish,dory,17223849,15223,856404,22077424,99354,103514
8,26,vanilla,mkzg,13948381,5839,560576,33406328,54970,55898
8,26,vanilla,dory,18343961,15646,826080,23906452,95034,99482
8,26,jellyfish,mkzg,23935284,6340,648384,43507704,64874,65866
8,26,jellyfish,dory,31163777,16267,918368,33914072,105642,110090
4,22,vanilla,mkzg,1921823,5158,192855,21514480,42090,42890
4,22,vanilla,dory,3179237,13089,288663,11909668,74506,78090
4,22,jellyfish,mkzg,3128243,5387,226167,22852488,50586,51450
4,22,jellyfish,dory,4995313,13480,323895,13169976,83706,87290
4,23,vanilla,mkzg,3654706,5200,207783,23322880,45154,45986
4,23,vanilla,dory,5361934,13591,312741,13669688,80130,84002
4,23,jellyfish,mkzg,6140350,5533,242535,25808024,54002,54898
4,23,jellyfish,dory,8732537,14140,349413,16180488,89682,93554
4,24,vanilla,mkzg,7016415,5352,223254,26817788,48322,49186
4,24,vanilla,dory,10029016,13747,328020,17150876,83266,87138
4,24,jellyfish,mkzg,11966678,5754,259446,31750672,57522,58450
4,24,jellyfish,dory,16886632,14236,366132,22107916,93170,97042
4,25,vanilla,mkzg,13722036,5402,239268,33542340,51594,52490
