parties,nv,gate,prover_time,verifier_time,comm,mem,proof_size_compressed,proof_size_uncompressed
32,22,vanilla,873788,3067,79360,629800,1748,2164
32,24,vanilla,2955026,3073,79360,2406776,1748,2164
32,26,vanilla,10772919,3067,79360,9650316,1748,2164
16,22,vanilla,1572922,3050,38400,1261712,1748,2164
16,24,vanilla,5460100,3061,38400,4879268,1748,2164
16,26,vanilla,19210069,3036,38400,18673796,1748,2164
8,22,vanilla,2892571,3053,17920,2474764,1748,2164
8,24,vanilla,10670214,3071,17920,9614244,1748,2164
8,26,vanilla,43639453,3097,17920,40564072,1748,2164
4,22,vanilla,5379749,3035,7680,4903332,1748,2164
4,24,vanilla,18989353,3060,7680,19228048,1748,2164
4,26,vanilla,86195639,3084,7680,93412100,1748,2164
2,22,vanilla,10614112,2998,2560,9616756,1748,2164
2,24,vanilla,42958216,2983,2560,41849352,1748,2164
2,26,vanilla,168325072,2995,2560,146750260,1748,2164
